4,161883443611556,0.16644756,-0.08522116,-0.033289514
4,161883481726191,-0.01571265,-0.036218993,-0.06098639
4,161883475529316,-0.01571265,-0.036218993,-0.06098639
4,161883470653171,-0.01571265,-0.036218993,-0.06098639
4,161883464701400,-0.01571265,-0.036218993,-0.06098639
4,161883502811869,-0.18056233,-0.002130529,-0.09054748
4,161883498588171,-0.18056233,-0.002130529,-0.09054748
4,161883490417129,-0.18056233,-0.002130529,-0.09054748
4,161883493588171,-0.18056233,-0.002130529,-0.09054748
4,161883524549994,-0.22770028,0.015978966,-0.10705908
4,161883519848691,-0.22770028,0.015978966,-0.10705908
4,161883513911608,-0.22770028,0.015978966,-0.10705908
4,161883507703744,-0.22770028,0.015978966,-0.10705908
4,161883556114785,0.022903185,0.020772656,-0.072970614
4,161883551249681,0.022903185,0.020772656,-0.072970614
4,161883542618327,0.022903185,0.020772656,-0.072970614
4,161883537800358,0.022903185,0.020772656,-0.072970614
4,161883530052702,0.022903185,0.020772656,-0.072970614
4,161883589334525,0.20985709,0.0,-0.02743056
4,161883601914785,0.23995082,-0.0039947415,-0.008522116
4,161883562149160,0.2263687,-0.004527374,-0.008255799
4,161883606845514,0.2263687,-0.004527374,-0.008255799
4,161883615494941,0.20559604,-0.0077231675,-0.0058589545
4,161883620900618,0.15845808,-2.663161E-4,0.004527374
4,161883628070046,0.15845808,-2.663161E-4,0.004527374
4,161883633843275,0.12703279,-0.0031957934,0.011451593
4,161883642001868,0.120907515,-0.005060006,0.011185277
4,161883647941660,0.13182648,0.0031957934,0.015180019
4,161883653635306,0.13928333,0.008255799,0.02130529
4,161883658635306,0.14753912,0.011717909,0.027963191
4,161883662991660,0.14753912,0.011717909,0.027963191
4,161883670115254,0.17576863,5.326322E-4,0.046072688
4,161883676223066,0.17576863,5.326322E-4,0.046072688
4,161883682225254,0.20772657,-0.0015978967,0.056459017
4,161883695983223,0.2793656,7.9894834E-4,0.08974853
4,161883707888639,0.2793656,7.9894834E-4,0.08974853
4,161883712895254,0.257794,0.013315806,0.105727494
4,161883721033066,0.22690132,0.020772656,0.11052119
4,161883726953796,0.14833808,0.026365295,0.10705908
4,161883732579264,0.07989483,0.025033714,0.10892329
4,161883737579264,0.07989483,0.025033714,0.10892329
4,161883741791764,0.049534798,0.030626353,0.1272991
4,161883747982025,0.049534798,0.030626353,0.1272991
4,161883753945254,0.049534798,0.030626353,0.1272991
4,161883759941556,0.050866377,0.027963191,0.13369069
4,161883764872129,0.05672533,0.025832662,0.1403486
4,161883769872129,0.06018744,0.026365295,0.15339808
4,161883774785098,0.0561927,0.023702133,0.15765914
4,161883778490202,0.0561927,0.023702133,0.15765914
4,161883792556139,0.05352954,0.01917476,0.16937704
4,161883788176608,0.05352954,0.01917476,0.16937704
4,161883783176608,0.05352954,0.01917476,0.16937704
4,161883812835045,0.11318435,0.043675844,0.17763285
4,161883806506608,0.11318435,0.043675844,0.17763285
4,161883800419212,0.11318435,0.043675844,0.17763285
4,161883836162337,0.058056913,0.050866377,0.18109496
4,161883831162337,0.058056913,0.050866377,0.18109496
4,161883826260254,0.058056913,0.050866377,0.18109496
4,161883819053848,0.058056913,0.050866377,0.18109496
4,161883858842598,-0.08841695,0.0561927,0.14993598
4,161883863574160,-0.07643273,0.0561927,0.15393071
4,161883872253639,-0.04926848,0.0561927,0.15739283
4,161883853427806,0.018375812,0.054328486,0.16245283
4,161883845271452,0.018375812,0.054328486,0.16245283
4,161883840392858,0.018375812,0.054328486,0.16245283
4,161883880417858,0.018375812,0.054328486,0.16245283
4,161883886904629,0.043942157,0.055926383,0.16245283
4,161883891783900,0.036751624,0.048469532,0.13954964
4,161883905308379,0.036751624,0.048469532,0.13954964
4,161883897983535,0.036751624,0.048469532,0.13954964
4,161883910192077,-0.034621093,0.040480047,0.09640643
4,161883939093223,-0.034621093,0.040480047,0.09640643
4,161883930993327,-0.040480047,0.03435478,0.088150635
